DEVICEID,DEVICENAME,DELIVERY
865648068893957,K334629,9013636334K2
865648068748789,K329616,9013636334K2
865648069082352,K341845,9013636334K2
865648068893957,K334629,9013636334KR2
865648068748789,K329616,9013636334KR2
865648069082352,K341845,9013636334KR2
865648068843630,K353707,9013634177
865648068852078,K337735,9013634177
865648068980069,K329470,9013634177
865648068816321,K331431,9013576235KR
865648069061737,K356284,9013576235KR
865648068675040,K337832,9013576235KR
865648068960822,K351470,9013568201
865648068735893,K328765,9013568201
865648068723303,K348201,9013568201
863740065796366,K295480,9013701584
861059062266063,K326480,9013701584
863740065817311,K292606,9013701584
864145063589707,K292337,9013701518
863740065587377,K295837,9013701518
863740065614304,K294432,9013701518
861059067855175,K315290,9013700444446
865648069031342,K335212,9013700444446
865648068874270,K331895,9013700444446
863740065695212,K291693,901367246726
864145063622276,K294711,901367246726
865648068785427,K355999,901367246726
864145063746646,K293244,90138138233825
863740065597574,K294308,90138138233825
865648068982701,K353853,90138138233825
865648068876952,K353514,90138127692797
865648069026136,K354171,90138127692797
863740065547975,K359566,90138127692797
